103;Spanish keyboard;no;wp;olpc;es;olpc;es_CO.UTF-8;XO 1.5 CL1B;es;COL;US wall;4 GB;1 GB;Colombia;
104;US International keyboard;yes;ww;olpc;us;olpc;en_AU.UTF-8;XO 1.5 CL1B;us;AUS; NONE;4 GB;1 GB;Australia;
105;Spanish keyboard;no;wp;olpc;es;olpc;es_MX.UTF-8;XO 1.5 CL1B;es;MEX;US wall;4 GB;1 GB;Mexico;
106;US International keyboard;yes;ww;olpc;us;olpc;en_ID.UTF-8;XO 1.5 CL1B;us;IDN;EU wall;4 GB;1 GB;Indonesia;
107;Portuguese keyboard;yes;ww;olpc;br;olpc;pt_BR.UTF-8;XO 1.5 CL1B;pt;BRA;US wall;4 GB;1 GB;Brazil;
108;US International keyboard;yes;ww;olpc;us;olpc;en_CA.UTF-8;XO 1.5 CL1B;us;CAN;US wall;4 GB;1 GB;Canada;
109;US International keyboard;yes;ww;olpc;us;olpc;en_PH.UTF-8;XO 1.5 CL1B;us;PHL;US wall;4 GB;1 GB;Philippines;
110;US International keyboard;yes;ww;olpc;us;olpc;en_AN.UTF-8;XO 1.5 CL1B;us;ANT;US wall;4 GB;1 GB;Netherlands Antilles;
111;US International keyboard;yes;ww;olpc;us;olpc;en_NL.UTF-8;XO 1.5 CL1B;us;NLD;EU wall;4 GB;1 GB;Netherlands;
112;US International keyboard;yes;ww;olpc;us;olpc;en_US.UTF-8;XO 1.5 CL1B;us;USA;EU wall;4 GB;1 GB;OLPC EU Developers;
113;African AZERTY keyboard;yes;ww;olpc;fr;olpc;;XO 1.5 CL1B;;;EU brick;4 GB;1 GB;Francophone Africa;
114;Spanish keyboard;no;wp;olpc;es;olpc;es_NI.UTF-8;XO 1.5 CL1B;es;NIC;US wall;4 GB;1 GB;Nicaragua -- Custom Image: http://dev.laptop.org/~dsd/nic-xo1.5-costa/;http://dev.laptop.org/~reuben/nic/
115;Spanish keyboard;no;wp;olpc;es;olpc;es_UY.UTF-8;XO 1.5 CL1B;es;URY;EU wall;2 GB;512 MB;Uruguay;http://dev.laptop.org/~reuben/UY/
116;Spanish HS KB;no;wp;olpcm;es;olpc;es_UY.UTF-8;XO 1.5 CL1C;es;URY;EU wall;4 GB;1 GB;Uruguay;http://dev.laptop.org/~reuben/UY/
117;Spanish keyboard;no;wp;olpc;es;olpc;es_MX.UTF-8;XO 1.5 CL1B;es;PER;US wall;4 GB;512 MB;Peru;http://dev.laptop.org/~reuben/per/
118;Arabic keyboard;yes;ww;olpc;us,ara;olpc2,olpc;ar_SY.UTF-8;XO 1.5 CL1B;us;SYR;EU wall;4 GB;1 GB;Palestinian Territories, others;
119;Azerty keyboard;yes;ww;olpc;us;olpc;fr_SN.UTF-8;XO 1.5 CL1B;us;SEN;EU wall;4 GB;1 GB;Senegal;
120;US International keyboard;yes;ww;olpc;us;olpc;en_JM.UTF-8;XO 1.5 CL1B;us;JAM;US wall;4 GB;1 GB;Jamaica;
121;Spanish HS KB;no;wp;olpcm;es;olpc;es_UY.UTF-8;XO 1.5 CL1C;es;URY;EU wall;8 GB;1 GB;Uruguay;http://dev.laptop.org/~reuben/UY/
122;US International keyboard;yes;ww;olpc;us;olpc;en_BB.UTF-8;XO 1.5 CL1B;us;BRB;US wall;4 GB;1 GB;Barbados;
123;US International keyboard;yes;ww;olpc;us;olpc;en_FM.UTF-8;XO 1.5 CL1B;us;FSM;US wall;4 GB;1 GB;Micronesia;
124;Dari keyboard;yes;ww;olpc;us,af;olpc2,fa-olpc;fa_AF.UTF-8;XO 1.5 CL1B;us;AFG;EU wall;4 GB;1 GB;Afghanistan;Dari or Pashto?
